Painting,HueSD_z,SaturationSD_z,Brightness_z,BrightnessSD_z,ColourComponent_z,Entropy_z,StraightEdgeDensity_z,NonStraightEdgeDensity_z,Horizontal_Symmetry_z,Vertical_Symmetry_z
1.jpg,0.24111706374685993,-0.8103347428022535,0.08689746431657584,-1.674852430000579,0.6962766902976633,-0.9319297583064977,0.8739046457531133,-2.1831439313908265,0.9975545097693522,0.7626842967379216
2.jpg,1.58630127268033,-1.3462095269646641,-1.2513252276346662,-2.31111809742808,0.6564479624620019,-1.5819895246050948,0.49999250777725157,-1.4597720351914614,1.1952057758997052,0.9107645430359905
3.jpg,-1.6297892883702456,-2.3667060208523045,1.2069907044547923,-2.1400960639253364,-0.19786891991957314,-2.0446341248711266,-0.8364309154093518,-0.7603376971055902,1.8403007058466199,1.433631961380501
4.jpg,0.7969899329031993,0.19457680814353603,0.02375471620875765,-1.6132468275213927,0.28161567337890275,-1.2084105177020783,-0.8950897814471317,-0.9732821243106163,0.9914915874954157,1.3065188296025119
5.jpg,-0.12797752762408507,-0.905793977877407,-0.01729806272213502,-1.624636079132695,0.1748362350277607,-1.7733350419078562,-0.02757698117758914,-1.9754878320531692,1.2146071271763035,0.7548216287928923
6.jpg,0.015736038844375518,-1.116270098312152,1.0450857683947632,-2.4123762229037546,0.21748124642051325,-2.0974734510030553,1.6659853864350718,-1.7708511360198695,1.779671483107248,1.4231484041204603
7.jpg,1.1707982757088078,-1.2515781246938593,0.09773297453521909,-1.4580707251203389,0.6089627757027468,-1.6028967774887428,-0.6656997503912291,-1.634755577753746,1.352841755022072,1.4283901827504815
8.jpg,-1.7336179630173896,-3.0231561882967632,-1.0325154807238026,0.5652136834183544,0.6906950253211879,0.9509876843793174,-0.26160647535527004,0.6720973758459006,-1.889609077079531,-2.3207919823714303
9.jpg,0.4483830905128748,-1.4990920621065604,-1.3053602412065646,-1.9501405405254657,0.9644917326321203,-1.0624744510595103,-1.1297828313007765,2.357273229185312,0.9138861823890203,0.10877241264290874
10.jpg,-0.22983188294380766,0.29264900850194786,-1.6532513322090652,-0.7475358585295411,-0.8989832170052853,-0.4783480883097767,0.5400408142078699,0.8360042316886194,-1.2760413429570892,-1.1125620081517869
11.jpg,0.6339707640191089,-0.4442212450958959,-1.892607793113985,-0.5650083961465067,0.759416634750033,-1.3039218829590746,-1.120094766873542,1.4314305911133494,-1.9453879619997525,-1.0994575615767364
12.jpg,2.034207751136718,-1.2692850565816625,-0.5279688361363013,-0.6383456860108062,0.5378034631424056,-0.10643151926673029,-0.853445256130799,0.7661574955477142,0.7101719939847306,0.6303293863299129
13.jpg,1.593280829507443,-0.7161714443943774,-0.7184260762760362,0.4305531928231767,0.33744330450069754,-0.2091622308957156,-0.7432194174044977,0.35674404068234095,-1.8156414253374977,0.24636910168093704
14.jpg,0.4551557165504699,0.6287507194933488,-0.5945749582376559,0.8066622432003354,-0.48112590075600153,1.0955253104884535,3.648357905177062,-1.1569318020420534,-1.8738454791672936,-2.1805744040183925
15.jpg,1.1433142119795676,0.2698541182432086,1.2660775430201214,-0.3499992599028543,0.4548295024896247,0.9805435533407683,1.5806544689197444,-0.11577088321270186,0.4664425185724561,0.015730841960051152
16.jpg,0.7564603885674923,0.05426718804804875,0.443997224986211,1.1302802316469391,0.11378447434456465,1.3492993839744052,0.47809147592607937,-0.2195670782784004,-0.8067711589543508,0.22278109784584607
17.jpg,1.5419578486807841,0.4161719117479873,0.2950394104194642,-0.016324419890145703,-0.08775407378579525,0.889624788678628,1.5765011842835095,0.3442463299499327,-0.16773915128137276,0.18739909209321104
18.jpg,0.13276889252120622,0.7529684837398318,-0.19761613824294577,0.6405376365917919,1.6236896357572739,1.0975426089667095,1.1945353957169729,0.33942406568176,-0.5569787612681397,-1.2763675903399159
19.jpg,1.8012799585868429,0.6002315829537266,0.46282476956358926,-0.22914816146032266,-0.3117939090511577,0.8335103979683617,0.3160127846823628,0.7417508672440527,0.3318456440910508,-0.05241228023021201
20.jpg,0.6558553505823307,-0.47043775664934906,-0.3445870971040966,-0.3345557417852004,0.07809257440414578,0.4277381929288482,-0.8008310379018787,1.523662374390901,0.12449370232239929,-0.36822944268892466
21.jpg,-0.6207624725924961,1.1212122569240452,-1.368542807883622,0.11892634118829823,-1.6770705462859192,-0.4196330791541818,0.6917048183226465,0.5404925686661789,-1.1317437928373841,-2.2919621999063198
