Painting,HueSD,SaturationSD,Brightness,BrightnessSD,ColourComponent,Entropy,StraightEdgeDensity,NonStraightEdgeDensity,Horizontal_Symmetry,Vertical_Symmetry
1.jpg,0.23584132204436653,-0.8374720739566363,0.08172808740864926,-1.6712933678762312,0.7103133619216316,-0.8534640917178264,0.7895584982784135,-2.1143238658645918,0.9922836370614991,0.7611965263700725
2.jpg,1.5577496317605426,-1.3579407458874098,-1.2286411111711413,-2.311456566238549,0.6715636764043744,-1.4673208482128757,0.43420934211825185,-1.4079740458660606,1.1883523401022484,0.9026591105156083
3.jpg,-1.6026924914957368,-2.349098513674327,1.1785079359661956,-2.139386914264095,-0.15960800100804953,-1.9041999298799668,-0.8358669337492399,-0.7249984956636165,1.8282820948119285,1.4021597394896697
4.jpg,0.7820958498656041,0.13854880962749005,0.019899579543844702,-1.609310391992015,0.30688636650850565,-1.1145471351466372,-0.8916136625414,-0.9329320062357577,0.9862692596676118,1.2807272557541205
5.jpg,-0.12686677708756403,-0.9301869072935874,-0.02029873524389103,-1.6207694099961183,0.20299980319951236,-1.6480099859057737,-0.06716879909644394,-1.9115542405039652,1.207598347762689,0.7536852387163281
6.jpg,0.014360094646403733,-1.1346119523104707,1.0199728561270158,-2.413334961982834,0.2444894733483397,-1.9540965379094364,1.5423161496767752,-1.7117329671483605,1.7681383208730486,1.3921446892846758
8.jpg,-1.7047246049352018,-2.9866760913776322,-1.0143856255740684,0.5824945718489766,0.7048829157523856,0.9245902565713511,-0.289579827855283,0.6737291315153231,-1.8717628779079574,-2.184480115173699
9.jpg,0.43952099750017704,-1.5064279902556699,-1.2815514510236328,-1.9482677927532597,0.9712619060062416,-0.9767385132795475,-1.1146553045528484,2.319250151790217,0.9092852290258461,0.13650776983359114
12.jpg,1.9979059255343514,-1.2832278127125492,-0.5203405116399707,-0.6284373623976526,0.5561335010807634,-0.07393934987037823,-0.852036592350636,0.7655758689535512,0.7072021485912094,0.6347565175320271
13.jpg,1.5646084203982802,-0.7460159198038128,-0.7068336137422299,0.4470092003044396,0.3612015120504135,-0.17094880146598798,-0.7472829489132415,0.36579655534108124,-1.798387473702524,0.2679553037741329
14.jpg,0.44617643589905276,0.5602404542164978,-0.5855603075404573,0.8254221572630055,-0.4351909664813193,1.0610783195998412,3.4262731817845054,-1.1122601187736505,-1.8561254966838476,-2.0505288186819093
15.jpg,1.1224276344101827,0.21166193749249376,1.236364953160076,-0.3383246314688803,0.4754074760195832,0.9525001054755134,1.4612215115150116,-0.09559935068385617,0.46542417735691255,0.0476241992642721
18.jpg,0.12936791346986368,0.6808870244570236,-0.19686370722559754,0.6582799320299824,1.6126007794227306,1.0629832710596057,1.0942714371400362,0.34888414653958194,-0.5498027267313791,-1.1867307385012018
21.jpg,-0.6111249993672078,1.0385439869422697,-1.3434189486821215,0.1334734364705463,-1.5987350068922275,-0.36969814567529835,0.616404036697059,0.54522119202977,-1.1199657036719597,-2.1569387271099667
22.jpg,0.915200503732448,-0.8754545295894961,-0.6582414491453069,0.24137457021303205,1.3905680392637958,0.31235002370134957,-0.49402716919883977,0.4127085423855127,-0.07947841452933864,0.5108202712452298
23.jpg,1.3692688291132151,-1.3383485195769098,-1.0059475719979392,-0.8302351537102138,0.7356537000022382,-0.008854033793044856,-1.1309765448774833,1.6506765306518316,0.3499481313942627,-0.3692522655185907
